date	paths	fields	differing	verdict	f107	ssn	kp	kpmax24h	gfortran	voacapl	run
2026-08-04	200	0	unknown	FAILED					13	c12a98b	30893054366
2026-08-05	200	0	unknown	FAILED					13	c12a98b	30990001969
2026-08-05	200	177600	0	clean	115.0	65.3	0.33	2.33	13	c12a98b	31014762650
2026-08-06	200	177600	0	clean	107.0	55.7	1.33	1.33	13	c12a98b	31085943586
2026-08-07	200	177600	0	clean	100.0	47.1	0.33	1.33	13	c12a98b	31157260037
2026-08-08	200	177600	0	clean	95.0	40.9	1.67	1.67	13	c12a98b	31245098898
2026-08-09	200	177600	0	clean	92.0	37.2	2.33	5.67	13	c12a98b	31300168683
2026-08-10	200	177600	0	clean	94.0	39.7	1.00	2.33	13	c12a98b	31367262525
2026-08-11	200	177600	0	clean	94.0	39.7	0.67	2.00	13	c12a98b	31468017858
2026-08-12	200	177600	0	clean	97.0	43.4	2.67	3.33	13	c12a98b	31574715936
2026-08-13	200	177600	0	clean	101.0	48.4	2.00	2.67	13	c12a98b	31678601521
2026-08-14	200	177600	0	clean	107.0	55.7	2.33	3.00	13	c12a98b	31780569318
