# Accepted complexity, written by `cargo run --bin complexity -- --update`.
#
# Only functions over the thresholds are listed. `--check` fails when one of
# these gets worse, or when a function not listed here goes over. Most of
# these are one Rust function per Fortran subroutine, which is deliberate:
# see the module documentation in src/bin/complexity.rs.
#
# file	function	cyclomatic	lines
src/bin/antcheck.rs	main	22	133
src/bin/areacheck.rs	cases	1	267
src/bin/areacheck.rs	main	20	155
src/bin/complexity.rs	measure	24	57
src/bin/complexity.rs	walk	21	59
src/bin/daily.rs	main	29	227
src/bin/engines.rs	diagnose	19	116
src/bin/engines.rs	main	21	143
src/bin/engines.rs	print_report	5	76
src/bin/fuzz.rs	cell_diffs	7	46
src/bin/fuzz.rs	check_case	16	65
src/bin/fuzz.rs	main	21	158
src/bin/irtam_validate.rs	gather	18	121
src/bin/lufcheck.rs	main	22	140
src/bin/measure.rs	main	18	126
src/bin/mufcheck.rs	main	32	218
src/bin/paritycheck.rs	fields_from_json	16	38
src/bin/paritycheck.rs	main	20	114
src/bin/paritycheck.rs	run_case	19	94
src/bin/portcheck.rs	main	22	107
src/bin/porttest.rs	compare_freq_debug	49	238
src/bin/porttest.rs	main	118	1172
src/bin/porttest.rs	parse_hour_traces	10	43
src/bin/porttest.rs	parse_redmap_trace	14	33
src/bin/spacewx.rs	run	16	66
src/bin/storm.rs	gather_tagged	8	41
src/bin/storm.rs	pool_z	11	44
src/bin/storm.rs	rule_check	10	76
src/bin/threadscale.rs	run_all	4	36
src/bin/validate.rs	report	7	109
src/bin/validate.rs	run_path	20	135
src/deck.rs	build_deck	51	123
src/deck.rs	override_cards	18	38
src/fuzz.rs	pick_antennas	18	47
src/json.rs	string	19	24
src/listing.rs	parse_listing	14	86
src/service.rs	area	17	68
src/service.rs	build_request	19	58
src/spread.rs	gather	22	110
src/spread.rs	load_month	23	39
src/voacap/antenna.rs	area_table	33	172
src/voacap/antenna.rs	point_to_point_table	41	220
src/voacap/antenna.rs	read_antenna	62	170
src/voacap/ccir.rs	antinit2	8	147
src/voacap/ccir.rs	gain	16	110
src/voacap/ccir.rs	gainrel	28	282
src/voacap/ccir.rs	logparm	26	127
src/voacap/coefficients.rs	parse_month_file	41	81
src/voacap/geometry.rs	path_geometry	28	151
src/voacap/graphs.rs	gphbod	21	80
src/voacap/graphs.rs	ionplt	21	139
src/voacap/hfmufes.rs	cmpinv	12	52
src/voacap/hfmufes.rs	curtain6	34	226
src/voacap/hfmufes.rs	matinv	18	68
src/voacap/hfmufes.rs	mufesgan	106	921
src/voacap/hfmufes.rs	mufesint	16	99
src/voacap/hfmufes.rs	rhomboid	3	150
src/voacap/ioncap.rs	iongain2	39	445
src/voacap/ionogram.rs	alosfv	16	103
src/voacap/ionosphere.rs	layer_parameters	11	139
src/voacap/modes.rs	esmod	10	121
src/voacap/modes.rs	fdist	23	130
src/voacap/modes.rs	findf	36	224
src/voacap/modes.rs	inmuf	37	199
src/voacap/modes.rs	luffy_freq_loop	18	192
src/voacap/modes.rs	luffy_luf	21	141
src/voacap/modes.rs	regmod	11	152
src/voacap/modes.rs	relbil	28	185
src/voacap/modes.rs	seltxr	21	108
src/voacap/modes.rs	settxr	16	134
src/voacap/muf.rs	curmuf	29	279
src/voacap/muf.rs	lecden	26	169
src/voacap/noise.rs	genois	11	135
src/voacap/output.rs	render	27	103
src/voacap/run.rs	hour_block	14	104
src/voacap/run.rs	hour_body	20	226
src/voacap/run.rs	run_luf	8	148
src/voacap/sigdis.rs	sigdis	10	120
